scenario,seed,cumulative_churn,mean_trust_all,mean_trust,mean_harm,platform_reputation,reputation,cumulative_revenue,cumulative_costs,net_value,opportunity_cost,cumulative_projected_revenue,tipping_points_triggered_count,active_users,cumulative_negative_wom_count,cumulative_positive_wom_count,trust_collapse_step,social_contagion_step,churn_cascade_step,extractive_divergence_step,trust_collapse_triggered,social_contagion_triggered,churn_cascade_triggered,extractive_divergence_triggered,churned_skeptic,churned_naive,churned_activist,trust_skeptic,trust_naive,trust_activist,n_skeptic,churned_skeptic_total,n_naive,churned_naive_total,n_activist,churned_activist_total
control,0,0.058,0.7371616250874357,0.7376160138374401,0.0,92.0,0.8163312096862081,726041.9025936101,15287.099999999984,710754.8025936101,-101658.34105096292,624383.5615426472,0.0,471.0,0.0,25651.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,9.0,14.0,6.0,0.6224358924750811,0.8263481193158,0.6729222640714926,150,9,259,14,91,6
control,1,0.088,0.739497626079007,0.7385826287957366,0.0,92.0,0.8170078401570156,708905.7059514205,14980.900000000034,693924.8059514205,-74674.26993493165,634231.4360164888,0.0,456.0,0.0,25181.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,12.0,26.0,6.0,0.6242487336950601,0.824238549172084,0.6724564033272795,139,12,265,26,96,6
control,2,0.086,0.7355016788128614,0.7354399792764004,0.0,92.0,0.8148079854934802,714915.8528231927,15047.899999999992,699867.9528231927,-62056.81591508596,652859.0369081068,0.0,457.0,0.0,25429.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,15.0,23.0,5.0,0.6261374803369203,0.8237205632180874,0.6761609407291271,146,15,251,23,103,5
control,3,0.086,0.735035600469066,0.7359471996335938,0.0,92.0,0.8151630397435157,715631.9995595616,15123.40000000002,700508.5995595616,-84377.4791078011,631254.5204517605,0.0,457.0,0.0,24497.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,17.0,20.0,6.0,0.6224428061287451,0.824663945109164,0.6764852430240405,164,17,257,20,79,6
control,4,0.086,0.7342258288795308,0.7356490789434967,0.0,92.0,0.8149543552604477,707239.164538694,15034.500000000007,692204.664538694,-107431.50663500931,599807.6579036847,0.0,457.0,0.0,26160.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,12.0,17.0,14.0,0.6231073630996202,0.8272577793633675,0.6740015595874295,142,12,244,17,114,14
control,5,0.078,0.7403623195080657,0.7398501799647409,0.0,92.0,0.8178951259753187,710909.6935268067,15202.499999999973,695707.1935268067,-136837.3438236165,574072.3497031901,0.0,461.0,0.0,25601.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,12.0,22.0,5.0,0.6294438059858027,0.8268602590586304,0.6742005062253776,151,12,261,22,88,5
control,6,0.102,0.7275956052794653,0.7289950690542502,0.0,92.0,0.8102965483379752,707345.14786309,14953.100000000004,692392.0478630901,-65114.97132581426,642230.1765372758,0.0,449.0,0.0,26456.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,20.0,20.0,11.0,0.6233811523935882,0.8249536674575212,0.6724771693108562,146,20,227,20,127,11
control,7,0.07,0.7380140240650173,0.737864466456674,0.0,92.0,0.8165051265196719,714651.383102475,15147.700000000003,699503.683102475,-114372.60633206565,600278.7767704093,0.0,465.0,0.0,26375.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,10.0,18.0,7.0,0.6220473536886436,0.824054985226157,0.6774404038755603,138,10,258,18,104,7
control,8,0.082,0.7424037132761991,0.7442855881534273,0.0,92.0,0.8209999117073989,715365.3744578961,15113.20000000001,700252.1744578962,-87058.75510102208,628306.619356874,0.0,459.0,0.0,25939.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,14.0,19.0,8.0,0.630165046282312,0.8260540677877775,0.6806077870869427,141,14,264,19,95,8
control,9,0.092,0.7293600298871645,0.7321418134964988,0.0,92.0,0.812499269447549,711823.0577580445,15137.399999999996,696685.6577580444,-104782.43347316596,607040.6242848785,0.0,454.0,0.0,25201.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,17.0,15.0,14.0,0.6242550684792774,0.824298459623544,0.6745320796688009,170,17,241,15,89,14
control,10,0.092,0.7265852584176365,0.7295808403816687,0.0,92.0,0.810706588267168,714320.3747723916,15112.099999999999,699208.2747723917,-88317.15822908748,626003.2165433042,0.0,454.0,0.0,26280.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,20.0,14.0,12.0,0.6258243646435216,0.8235618468720083,0.6752041296974931,160,20,227,14,113,12
control,11,0.07,0.7389143518382227,0.7410493579886183,0.0,92.0,0.8187345505920327,714699.5767351001,15130.60000000001,699568.9767351002,-106837.00885387207,607862.567881228,0.0,465.0,0.0,25979.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,13.0,13.0,9.0,0.6278379427714018,0.8252702622901842,0.6775026329205432,144,13,257,13,99,9
control,12,0.078,0.7313786587314111,0.7328310043878801,0.0,92.0,0.8129817030715161,711532.0788003476,15047.4,696484.6788003476,-90457.57237524341,621074.5064251042,0.0,461.0,0.0,25117.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,14.0,14.0,11.0,0.6256074569586081,0.8251911495296572,0.6772518445730187,171,14,242,14,87,11
control,13,0.09,0.7371324987038917,0.7406470682397919,0.0,92.0,0.8184529477678544,709688.0102498695,15036.799999999972,694651.2102498696,-88160.98597536213,621527.0242745074,0.0,455.0,0.0,25310.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,22.0,15.0,8.0,0.6288672477073196,0.8259597095795727,0.6755984019054182,148,22,251,15,101,8
control,14,0.094,0.7356272937394975,0.7362897248353537,0.0,92.0,0.8154028073847475,694975.1145250405,14845.699999999973,680129.4145250405,-103578.01464450802,591397.0998805325,0.0,453.0,0.0,24763.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,14.0,22.0,11.0,0.6266403229043729,0.8248996609797622,0.674615498808532,149,14,251,22,100,11
control,15,0.074,0.7329881590683681,0.7333775221346667,0.0,92.0,0.8133642654942665,721929.9148835915,15203.399999999978,706726.5148835914,-85090.82808089873,636839.0868026927,0.0,463.0,0.0,25808.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,12.0,16.0,9.0,0.625171136372009,0.8259967294438378,0.6746951820908241,163,12,245,16,92,9
control,16,0.076,0.7371757438567053,0.7383723460542072,0.0,92.0,0.816860642237945,714337.853253939,15037.599999999957,699300.253253939,-72187.62211327744,642150.2311406615,0.0,462.0,0.0,25745.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,16.0,17.0,5.0,0.6255555142545387,0.8253758473270558,0.6767808621390583,148,16,254,17,98,5
control,17,0.076,0.7355422693589719,0.7377747026428634,0.0,92.0,0.8164422918500043,716400.8776635777,15191.59999999999,701209.2776635777,-112100.68330063648,604300.1943629412,0.0,462.0,0.0,25835.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,13.0,13.0,12.0,0.625323723449513,0.8244010104521157,0.6771828035333286,146,13,250,13,104,12
control,18,0.09,0.7351416069534685,0.7393576762359914,0.0,92.0,0.8175503733651939,712185.5199059374,15075.800000000017,697109.7199059373,-86378.85818282957,625806.6617231078,0.0,455.0,0.0,25105.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,20.0,12.0,13.0,0.6232209611114798,0.8241546092719207,0.6794377948024932,158,20,254,12,88,13
control,19,0.084,0.741630256306331,0.7430807103316057,0.0,92.0,0.820156497232124,720117.1211258686,15152.499999999996,704964.6211258686,-68001.70551047509,652115.4156153935,0.0,458.0,0.0,25683.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,12.0,19.0,11.0,0.6259168194112195,0.8251866094467571,0.6763875455789362,135,12,266,19,99,11
control,20,0.092,0.7299205179613305,0.7326567868433866,0.0,92.0,0.8128597507903705,713241.5086169806,15030.799999999965,698210.7086169807,-61618.12046831986,651623.3881486608,0.0,454.0,0.0,25089.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,21.0,16.0,9.0,0.6250849129664102,0.8236951711955071,0.6734063895978502,161,21,240,16,99,9
control,21,0.08,0.7227952431715116,0.7245071758164683,0.0,92.0,0.8071550230715279,721154.4345440032,15205.300000000014,705949.1345440032,-84584.268260538,636570.1662834652,0.0,460.0,0.0,26181.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,19.0,14.0,7.0,0.6242134453768682,0.8260184644605768,0.6764225072781124,177,19,217,14,106,7
control,22,0.048,0.732151625565499,0.7309239174632812,0.0,92.0,0.8116467422242968,731954.1132443247,15354.200000000015,716599.9132443246,-100729.45119839895,631224.6620459257,0.0,476.0,0.0,27475.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,7.0,15.0,2.0,0.628508310616825,0.8251338556597446,0.6754779067028277,162,7,240,15,98,2
control,23,0.076,0.7411142935716148,0.7458637489032715,0.0,92.0,0.82210462423229,716125.2260448127,15140.599999999993,700984.6260448127,-96672.79237166932,619452.4336731434,0.0,462.0,0.0,26229.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,16.0,8.0,14.0,0.6286296420728087,0.8271746789545023,0.6788896758188946,135,16,257,8,108,14
control,24,0.072,0.7263610019973294,0.7287005430231698,0.0,92.0,0.8100903801162187,719439.6516931045,15213.499999999998,704226.1516931045,-108461.8616657647,610977.7900273398,0.0,464.0,0.0,26075.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,19.0,10.0,7.0,0.6241317363834072,0.8221171398278688,0.67767277143536,173,19,231,10,96,7
control,25,0.08,0.7335388396588649,0.7351894119824272,0.0,92.0,0.814632588387699,706143.8109883688,15070.39999999996,691073.4109883689,-129522.08867748536,576621.7223108835,0.0,460.0,0.0,26116.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,16.0,15.0,9.0,0.6272997188928019,0.8239080521360974,0.6730383745285757,143,16,243,15,114,9
control,26,0.088,0.7345440731688292,0.7338489773238345,0.0,92.0,0.8136942841266841,712489.0413066881,15025.200000000017,697463.841306688,-73241.82118382899,639247.2201228591,0.0,456.0,0.0,26483.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,14.0,26.0,4.0,0.625418903269234,0.8235811919841661,0.6749824818911444,135,14,247,26,118,4
control,27,0.092,0.7418769435791341,0.743984592493268,0.0,92.0,0.8207892147452875,703944.733033433,15000.100000000011,688944.633033433,-105674.45280863531,598270.2802247977,0.0,454.0,0.0,24604.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,16.0,19.0,11.0,0.6257336322185701,0.826184168075954,0.6779168023178078,143,16,266,19,91,11
control,28,0.088,0.7234620138940872,0.7252420487426823,0.0,92.0,0.8076694341198776,711737.7880003377,15101.300000000007,696636.4880003376,-101383.62106842513,610354.1669319125,0.0,456.0,0.0,25659.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,19.0,15.0,10.0,0.6221511422293691,0.8277944607603559,0.6721181288174073,176,19,221,15,103,10
control,29,0.11,0.7330568814089794,0.7367364033646033,0.0,92.0,0.8157154823552224,700972.9519851864,14967.900000000003,686005.0519851864,-95466.52650386083,605506.4254813256,0.0,445.0,0.0,25092.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,26.0,19.0,10.0,0.6279878288843364,0.8252470056968125,0.671253946991605,164,26,247,19,89,10
control,30,0.088,0.7269370454762232,0.7294175979786405,0.0,92.0,0.8105923185850483,715716.1645070412,15088.599999999993,700627.5645070412,-70988.03445513197,644728.1300519092,0.0,456.0,0.0,26513.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,19.0,15.0,10.0,0.6261966377613957,0.8248612501706886,0.6752249548732125,162,19,227,15,111,10
control,31,0.094,0.7335479743147298,0.7384837168862303,0.0,92.0,0.816938601820361,711071.7638088204,15038.900000000005,696032.8638088204,-79510.95319382974,631560.8106149907,0.0,453.0,0.0,26538.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,19.0,11.0,17.0,0.6268736259154866,0.825497949632504,0.6775757932449766,140,19,239,11,121,17
control,32,0.06,0.7481171000364303,0.7474723190902157,0.0,92.0,0.823230623363151,723925.9102863529,15294.299999999974,708631.6102863529,-117620.31881723634,606305.5914691165,0.0,470.0,0.0,26712.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,7.0,19.0,4.0,0.631110055430406,0.8268321515458699,0.6754503101620862,121,7,276,19,103,4
