param,value,n_seeds,cumulative_churn_mean,cumulative_churn_ci,mean_trust_all_mean,mean_trust_all_ci,opportunity_cost_mean,opportunity_cost_ci,tipping_points_triggered_count_mean,tipping_points_triggered_count_ci
dark_pattern_intensity,0.0,30,0.0826,0.004376240385084664,0.7343365194098499,0.0019149886863450193,32855.70934723986,2253.8577096457643,0.0,0.0
dark_pattern_intensity,0.1,30,0.08399999999999998,0.0031167917486732573,0.715135303200156,0.002041083943177635,31075.950468673716,1577.2899667989548,0.0,0.0
dark_pattern_intensity,0.2,30,0.20526666666666668,0.008001629703735911,0.3219388251878565,0.009985239269329125,80028.1683899754,2973.129439009543,1.9666666666666666,0.06533333333333333
dark_pattern_intensity,0.3,30,0.3949333333333334,0.007178428716317313,0.23730772265536357,0.006477184706973603,166854.42242674908,4099.666664638538,3.566666666666667,0.1803565646752453
dark_pattern_intensity,0.4,30,0.5366666666666666,0.008593087054958745,0.21171052715165425,0.004074180120534681,232052.41664115182,4360.154803414586,4.0,0.0
dark_pattern_intensity,0.5,30,0.6467333333333336,0.006947740804284868,0.18195441770012655,0.004110873973105175,288513.4346378498,4090.3777827045774,4.0,0.0
dark_pattern_intensity,0.6,30,0.7217333333333332,0.007281036413110582,0.1363651975479094,0.003267682811526397,354430.4304170595,4635.839048269219,4.0,0.0
dark_pattern_intensity,0.8,30,0.8615999999999999,0.004811656956461745,0.05337414095535985,0.0017942390676908984,390080.6531363217,2925.2408367021962,4.0,0.0
dark_pattern_intensity,1.0,30,0.9627333333333332,0.0024468364249416973,0.005097020706261026,0.0008363168173347459,378503.9961296297,2698.4420726314765,4.0,0.0
social_influence_strength,0.0,30,0.4736666666666667,0.008314690687334893,0.29851838573480866,0.00589955912743658,157726.91811583,5790.905127599105,4.0,0.0
social_influence_strength,0.05,30,0.5051333333333333,0.008942300813926099,0.2602952640324816,0.006335693282385159,190918.36300548856,5337.910924775856,4.0,0.0
social_influence_strength,0.1,30,0.5248,0.008886658454264946,0.24125808164052923,0.005332583137954284,212012.010338776,4559.951042613591,4.0,0.0
social_influence_strength,0.18,30,0.5366666666666666,0.008593087054958745,0.21171052715165425,0.004074180120534681,232052.41664115182,4360.154803414586,4.0,0.0
social_influence_strength,0.3,30,0.5569333333333333,0.008942399571681905,0.19056911951004768,0.005043314261970799,250528.41095702298,4513.521450912812,4.0,0.0
social_influence_strength,0.5,30,0.5633333333333334,0.007702113120008679,0.16798665258458514,0.0041860002379941474,264853.48576958757,3672.244917407885,4.0,0.0
customer_support_quality,0.0,30,0.6668666666666667,0.01057988283764227,0.02145007575776138,0.0012268747987994246,329370.51496386906,3339.983629846071,4.0,0.0
customer_support_quality,0.1,30,0.6254000000000001,0.007387997871664842,0.0890215975188207,0.002518578136713751,300000.2623776988,3550.097515251343,4.0,0.0
customer_support_quality,0.2,30,0.5741999999999999,0.007292227044214115,0.16072168513805557,0.005325736911757467,265169.57275273686,4052.5678629781873,4.0,0.0
customer_support_quality,0.3,30,0.5366666666666666,0.008593087054958745,0.21171052715165425,0.004074180120534681,232052.41664115182,4360.154803414586,4.0,0.0
customer_support_quality,0.5,30,0.4674666666666667,0.010086317985935697,0.2927645240918625,0.0054204855132990665,168221.6327301817,5851.4616659894655,4.0,0.0
customer_support_quality,0.8,30,0.3957333333333332,0.009756618772388917,0.37174293505252454,0.005570196520846737,93335.3998726475,5381.783744222637,3.933333333333333,0.09078828894720775
