step,mean_trust_all_mean,mean_trust_all_lo,mean_trust_all_hi,mean_trust_mean,mean_trust_lo,mean_trust_hi,cumulative_churn_mean,cumulative_churn_lo,cumulative_churn_hi,mean_harm_mean,mean_harm_lo,mean_harm_hi,negative_wom_rate_mean,negative_wom_rate_lo,negative_wom_rate_hi,step_negative_wom_count_mean,step_negative_wom_count_lo,step_negative_wom_count_hi,platform_reputation_mean,platform_reputation_lo,platform_reputation_hi,step_revenue_mean,step_revenue_lo,step_revenue_hi,cumulative_revenue_mean,cumulative_revenue_lo,cumulative_revenue_hi,opportunity_cost_mean,opportunity_cost_lo,opportunity_cost_hi,active_users_mean,active_users_lo,active_users_hi,trust_skeptic_mean,trust_skeptic_lo,trust_skeptic_hi,trust_naive_mean,trust_naive_lo,trust_naive_hi,trust_activist_mean,trust_activist_lo,trust_activist_hi,churned_skeptic_mean,churned_skeptic_lo,churned_skeptic_hi,churned_naive_mean,churned_naive_lo,churned_naive_hi,churned_activist_mean,churned_activist_lo,churned_activist_hi
0,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.24375534426137,59.12001616784321,61.367494520679536,0.0,0.0,0.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,500.0,500.0,500.0,0.6252061913582815,0.624812599091331,0.6255997836252319,0.8253585301092672,0.8251055653476402,0.8256114948708941,0.675331785807354,0.6748819588655846,0.6757816127491234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.73493066622101,0.7339892019556115,0.7358721304864085,0.73493246525561,0.7339913349095696,0.7358735956016503,0.0002800000000000001,0.00013237768091880857,0.0004276223190811916,0.00039441114937300404,0.0003875041754252091,0.000401318123320799,0.0,0.0,0.0,0.0,0.0,0.0,60.47194114192112,59.41558330475588,61.528298979086365,2274.5259119628968,2252.7213641100157,2296.330459815778,12274.525911962888,12252.721364110006,12296.33045981577,-109.46240250179889,-131.26695035468006,-87.65785464891772,499.86,499.78618884045943,499.9338111595406,0.6248666495704507,0.6244735905004708,0.6252597086404306,0.8251937371952743,0.8249412366613661,0.8254462377291826,0.6748814409133098,0.6744316856082281,0.6753311962183915,0.04,0.0013985084288812913,0.0786014915711187,0.06,0.013218081711115368,0.10678191828888463,0.04,0.0013985084288812774,0.07860149157111873
2,0.7345840084588195,0.733640948993802,0.7355270679238372,0.7345834000458293,0.733641180001469,0.7355256200901896,0.0005800000000000003,0.00037684494253468055,0.00078315505746532,0.0008955883611282525,0.0008829064300468407,0.0009082702922096643,0.0,0.0,0.0,0.0,0.0,0.0,60.6848824253802,59.6918495960794,61.677915254681004,2276.0873829951424,2256.1068343914853,2296.0679315987995,14550.613294958042,14509.047238107734,14592.17935180835,-220.48627603584322,-262.05233288615113,-178.9202191855353,499.71,499.6084224712673,499.81157752873264,0.624428832763904,0.6240342836747819,0.6248233818530262,0.8249845446294838,0.8247326583646066,0.8252364308943609,0.6743336832865539,0.6738810781432287,0.674786288429879,0.07,0.01973924960465641,0.1202607503953436,0.14,0.07164792274812373,0.2083520772518763,0.08,0.02655865482851899,0.133441345171481
3,0.7341587274889839,0.7332136950001505,0.7351037599778173,0.7341603894856787,0.7332175829055559,0.7351031960658015,0.0009200000000000004,0.0006390873862467965,0.0012009126137532042,0.00151052326747275,0.001492630633695276,0.0015284159012502242,0.0,0.0,0.0,0.0,0.0,0.0,60.88316426976575,59.94965794187078,61.81667059766072,2282.249069930758,2263.027699570565,2301.4704402909515,16832.862364888795,16772.3517459529,16893.37298382469,-337.6718365055053,-398.182455441401,-277.1612175696097,499.54,499.3995436931234,499.68045630687664,0.6238974883887266,0.6235046348239109,0.6242903419535423,0.8247278498865317,0.8244760247649143,0.8249796750081491,0.6736411356906651,0.6731916201637802,0.67409065121755,0.11,0.04836465660389682,0.17163534339610317,0.21,0.12061458777187452,0.2993854122281255,0.14,0.06110660305952034,0.21889339694047968
4,0.7336752483046254,0.732728010933724,0.7346224856755268,0.7336746120585528,0.7327286075596326,0.7346206165574729,0.0013200000000000006,0.0010037385661427335,0.0016362614338572678,0.002209580213748058,0.0021860244790733617,0.002233135948422754,0.0,0.0,0.0,0.0,0.0,0.0,61.06739765217129,60.189831169299985,61.94496413504259,2284.8043472762765,2266.8101312330377,2302.7985633195153,19117.666712165075,19039.410142785135,19195.923281545016,-457.41267432068685,-535.6692437006259,-379.1561049407478,499.34,499.18186928307136,499.4981307169286,0.6232940259136555,0.6229012382796992,0.6236868135476117,0.8244341316569451,0.8241820376574988,0.8246862256563915,0.672867280639494,0.6724147498705638,0.6733198114084241,0.17,0.09600506705854717,0.24399493294145286,0.32,0.2089857521201751,0.4310142478798249,0.17,0.08617034106492072,0.2538296589350793
5,0.7331513158108774,0.7322029259651255,0.7340997056566294,0.7331542110918527,0.7322069252109075,0.734101496972798,0.001560000000000001,0.0012276570737836297,0.0018923429262163725,0.002966829672177337,0.002939263082482058,0.002994396261872616,0.0,0.0,0.0,0.0,0.0,0.0,61.23840216680615,60.41340141908869,62.0634029145236,2286.4454722298983,2269.4249843788075,2303.465960080989,21404.112184394977,21309.137695295372,21499.08667349458,-578.7946370894894,-673.7691261890952,-483.8201479898834,499.22,499.05382853689184,499.3861714631082,0.6226341299393888,0.622240232354379,0.6230280275243987,0.8241161371602306,0.823865094998772,0.8243671793216891,0.6720168233779882,0.6715631262279487,0.6724705205280277,0.22,0.13377439973294386,0.30622560026705614,0.36,0.24339410067421216,0.4766058993257878,0.2,0.11190455130480312,0.2880954486951969
6,0.7326117800783726,0.7316613118470175,0.7335622483097276,0.7326205800955304,0.7316729819895351,0.7335681782015258,0.0019000000000000015,0.0015548501716060067,0.0022451498283939963,0.003746813603373863,0.003714644018677252,0.0037789831880704738,0.0,0.0,0.0,0.0,0.0,0.0,61.396831565494,60.62123701634813,62.17242611463986,2291.355070991063,2275.966331659873,2306.7438103222526,23695.467255386022,23585.426319625192,23805.50819114685,-705.0861986194573,-815.1271343802865,-595.045262858628,499.05,498.877425085803,499.222574914197,0.621963105489233,0.6215670346034129,0.622359176375053,0.8237897682392163,0.8235382497608424,0.8240412867175902,0.6711373267418821,0.6706787776598976,0.6715958758238666,0.27,0.17821570302215536,0.36178429697784464,0.42,0.2979949595344934,0.5420050404655066,0.26,0.16503653865881376,0.3549634613411863
7,0.7320541219569473,0.731100294456025,0.7330079494578696,0.7320710983570222,0.7311194853078162,0.7330227114062282,0.0021600000000000018,0.0017834293090898817,0.002536570690910122,0.004554446977841246,0.004516674352083364,0.004592219603599127,0.0,0.0,0.0,0.0,0.0,0.0,61.54343665256163,60.814275004222665,62.2725983009006,2292.2303990682403,2277.4114697402506,2307.04932839623,25987.697654454285,25863.128643379125,26112.266665529445,-832.2530882266026,-956.822099301762,-707.6840771514431,498.92,498.73171465454493,499.1082853454551,0.6212530642632417,0.6208587629058613,0.6216473656206221,0.8234577939523959,0.8232064568280819,0.82370913107671,0.670235503118198,0.6697761601407496,0.6706948460956464,0.33,0.22555951092810922,0.4344404890718908,0.46,0.328091957344627,0.5919080426553731,0.29,0.18842247126734013,0.39157752873265983
8,0.7314841999792104,0.7305278224513183,0.7324405775071026,0.7315045848259285,0.7305515398238127,0.7324576298280443,0.002520000000000002,0.002108225626162223,0.002931774373837781,0.005379055034164675,0.005335429369440498,0.005422680698888852,0.0,0.0,0.0,0.0,0.0,0.0,61.67879952932935,60.99327222156854,62.36432683709017,2295.857663586821,2281.9982197461495,2309.717107427493,28283.5553180411,28145.470904639762,28421.63973144244,-963.0472423523285,-1101.1316557536663,-824.9628289509906,498.74,498.5341128130811,498.9458871869189,0.6205323867555126,0.6201394684544519,0.6209253050565733,0.8231149455409923,0.8228644008556608,0.8233654902263238,0.6693238108029377,0.6688643004904559,0.6697833211154195,0.38,0.262532060681747,0.497467939318253,0.54,0.40233412429605764,0.6776658757039424,0.34,0.23131720513811807,0.448682794861882
9,0.730912566200826,0.7299528510975819,0.7318722813040701,0.7309308721520584,0.7299747567807172,0.7318869875233996,0.0026600000000000018,0.0022210936567081574,0.003098906343291846,0.006206916939000689,0.006156492212883441,0.006257341665117936,0.0,0.0,0.0,0.0,0.0,0.0,61.80376645780866,61.159225528398395,62.44830738721893,2298.8147921183854,2285.879616557449,2311.749967679322,30582.37011015949,30431.72762049527,30733.01259982371,-1096.7985250096178,-1247.4410146738385,-946.1560353453972,498.67,498.4505468283541,498.8894531716459,0.6198043908995643,0.619409670510718,0.6201991112884105,0.822770641319829,0.8225185948232703,0.8230226878163878,0.6684148845250409,0.6679548659161352,0.6688749031339467,0.4,0.2754142216719093,0.5245857783280907,0.58,0.43211505427624763,0.7278849457237523,0.35,0.24076519591154838,0.4592348040884516
10,0.7303360667429827,0.7293734682896449,0.7312986651963205,0.7303616230774148,0.7294014970104692,0.7313217491443604,0.002960000000000002,0.0024759397583195295,0.0034440602416804748,0.007041540952513858,0.006985165732424692,0.007097916172603025,0.0,0.0,0.0,0.0,0.0,0.0,61.918813202628655,61.31277258966858,62.52485381558873,2300.9121772970907,2288.131755040396,2313.6925995537854,32883.28228745657,32720.238113875323,33046.32646103781,-1232.6471928456124,-1395.6913664268577,-1069.603019264367,498.52,498.27796987915974,498.7620301208402,0.6190765371810982,0.6186799062283206,0.6194731681338759,0.8224182297073839,0.8221649878306028,0.822671471584165,0.6674857745000241,0.6670294926813537,0.6679420563186945,0.48,0.34216510535492756,0.6178348946450725,0.63,0.4732618808974729,0.7867381191025271,0.37,0.2597750252868931,0.4802249747131069
11,0.7297605956573932,0.7287964726598835,0.7307247186549028,0.7297789041562568,0.7288173491757962,0.7307404591367174,0.0031800000000000023,0.0026751738757180114,0.003684826124281993,0.00787469982647377,0.007814957093116302,0.007934442559831239,0.0,0.0,0.0,0.0,0.0,0.0,62.02460366205589,61.4547391443908,62.59446817972098,2303.084052584118,2290.75618333114,2315.411921837096,35186.3663400407,35011.39457865191,35361.338101429494,-1370.6677359686378,-1545.6394973574297,-1195.6959745798458,498.41,498.15758693785904,498.662413062141,0.6183538714745005,0.6179546970310948,0.6187530459179061,0.8220750653619123,0.8218236791445663,0.8223264515792583,0.6665431875030481,0.6660901391529411,0.666996235853155,0.49,0.34660452932501323,0.6333954706749867,0.7,0.5363699664524024,0.8636300335475975,0.4,0.2785688040348143,0.5214311959651857
12,0.7291938452595318,0.7282272532824154,0.7301604372366481,0.7292231295495061,0.7282592344977069,0.7301870246013052,0.0034800000000000026,0.0029614477091133083,0.0039985522908866965,0.00869559958946192,0.008631866347061349,0.008759332831862492,0.0,0.0,0.0,0.0,0.0,0.0,62.121661377413574,61.585784168569276,62.65753858625787,2301.7956435057054,2290.7173819223144,2312.8739050890963,37488.161983546386,37302.60776209309,37673.716204999684,-1507.3998700132431,-1692.9540914665386,-1321.8456485599477,498.26,498.00072385455667,498.5192761454433,0.6176318401608308,0.6172322123585265,0.6180314679631351,0.8217329302268284,0.8214805628643493,0.8219852975893074,0.6656439518976852,0.6651899208188816,0.6660979829764888,0.55,0.40160426916756353,0.6983957308324366,0.74,0.5784703223315394,0.9015296776684606,0.45,0.32120276682813687,0.5787972331718632
13,0.728621539054648,0.7276536311211744,0.7295894469881216,0.7286504386677349,0.7276867172112722,0.7296141601241977,0.003740000000000003,0.00320368752663125,0.004276312473368756,0.009524909313251718,0.009457666902422529,0.009592151724080906,0.0,0.0,0.0,0.0,0.0,0.0,62.21052171239532,61.706567244883736,62.7144761799069,2303.3464863591926,2293.043609032932,2313.649363685453,39791.5084699056,39596.18792288315,39986.82901692805,-1645.6828469113375,-1841.0033939337895,-1450.3622998888854,498.13,497.8618437633156,498.3981562366844,0.6169190109453164,0.6165184658625819,0.617319556028051,0.8213834684571295,0.8211316827980102,0.8216352541162488,0.664714771354153,0.6642573504416731,0.6651721922666329,0.59,0.43465447310182126,0.7453455268981787,0.8,0.6305450210262623,0.9694549789737378,0.48,0.34791557031331594,0.6120844296866841
14,0.7280500702545157,0.7270807144457602,0.7290194260632713,0.7280846007965407,0.7271208137326588,0.7290483878604226,0.004160000000000003,0.003592676254042483,0.004727323745957523,0.010352832868056357,0.01028031851298018,0.010425347223132535,0.0,0.0,0.0,0.0,0.0,0.0,62.29155007521369,61.817560643862336,62.76553950656505,2303.337854765965,2293.2988358011776,2313.3768737307523,42094.84632467155,41890.0962375031,42299.59641183999,-1783.9571922162029,-1988.7072793846478,-1579.207105047758,497.92,497.63633812702125,498.2036618729788,0.6161929605162532,0.6157932854241156,0.6165926356083907,0.8210310227075476,0.8207773391849998,0.8212847062300953,0.6638053910561118,0.6633478885381703,0.6642628935740533,0.68,0.5108200360503046,0.8491799639496955,0.88,0.6946223902899323,1.0653776097100676,0.52,0.3850097137800746,0.6549902862199255
15,0.7274806128641841,0.7265096303689206,0.7284515953594476,0.7275273257319512,0.726562301068043,0.7284923503958595,0.004460000000000003,0.003870734291553028,0.005049265708446978,0.011177649039424909,0.01110106197275642,0.011254236106093399,0.0,0.0,0.0,0.0,0.0,0.0,62.365321187327474,61.919449586314016,62.81119278834093,2304.287750575248,2294.7733662840587,2313.8021348664374,44399.13407524679,44185.461937315216,44612.80621317836,-1923.1814333303528,-2136.853571261924,-1709.5092953987812,497.77,497.4753671457765,498.0646328542235,0.6154799941570285,0.6150808814892796,0.6158791068247773,0.8206868842387084,0.8204335338558186,0.8209402346215982,0.6628813218522387,0.6624264510061277,0.6633361926983496,0.75,0.5729851344483672,0.9270148655516328,0.92,0.73171465454494,1.10828534545506,0.56,0.40915342465627774,0.7108465753437223
16,0.7269047528113198,0.7259319726987467,0.727877532923893,0.7269520429070663,0.7259862843498716,0.727917801464261,0.004620000000000003,0.004023300449865002,0.0052166995501350035,0.012012611435871045,0.01193330458709824,0.01209191828464385,0.0,0.0,0.0,0.0,0.0,0.0,62.43235968171459,62.01289869673061,62.851820666698565,2306.5351757974086,2297.925288140831,2315.145063453986,46705.669251044215,46483.92105138373,46927.4174507047,-2064.6530996666615,-2286.401299327145,-1842.904900006178,497.69,497.3916502249325,497.9883497750675,0.6147571436633377,0.6143590357362333,0.615155251590442,0.8203327810196488,0.8200791521915638,0.8205864098477338,0.6619520538273779,0.6614967361363159,0.6624073715184399,0.79,0.6066958304187857,0.9733041695812144,0.95,0.7562400735680643,1.1437599264319356,0.57,0.41932072458229686,0.720679275417703
17,0.7263403384167932,0.725365075389101,0.7273156014444855,0.7263853625809561,0.7254149788707778,0.7273557462911344,0.004840000000000003,0.0042291992419285955,0.005450800758071411,0.012831401497706776,0.012748097895753758,0.012914705099659795,0.0,0.0,0.0,0.0,0.0,0.0,62.493064180027226,62.098411730422995,62.887716629631456,2307.3873325400123,2298.3340376907804,2316.440627389244,49013.05658358422,48782.993909947734,49243.11925722071,-2206.976922745575,-2437.039596382064,-1976.914249109086,497.58,497.2745996209643,497.8854003790357,0.6140487173346307,0.6136526491727533,0.6144447854965082,0.8199842987591728,0.8197295019379385,0.8202390955804071,0.6610368527791836,0.6605811811321605,0.6614925244262067,0.83,0.6409433904457145,1.0190566095542855,1.0,0.799111468669309,1.200888531330691,0.59,0.42973648467778336,0.7502635153222166
