step,mean_trust_all_mean,mean_trust_all_lo,mean_trust_all_hi,mean_trust_mean,mean_trust_lo,mean_trust_hi,cumulative_churn_mean,cumulative_churn_lo,cumulative_churn_hi,mean_harm_mean,mean_harm_lo,mean_harm_hi,negative_wom_rate_mean,negative_wom_rate_lo,negative_wom_rate_hi,step_negative_wom_count_mean,step_negative_wom_count_lo,step_negative_wom_count_hi,platform_reputation_mean,platform_reputation_lo,platform_reputation_hi,step_revenue_mean,step_revenue_lo,step_revenue_hi,cumulative_revenue_mean,cumulative_revenue_lo,cumulative_revenue_hi,opportunity_cost_mean,opportunity_cost_lo,opportunity_cost_hi,active_users_mean,active_users_lo,active_users_hi,trust_skeptic_mean,trust_skeptic_lo,trust_skeptic_hi,trust_naive_mean,trust_naive_lo,trust_naive_hi,trust_activist_mean,trust_activist_lo,trust_activist_hi,churned_skeptic_mean,churned_skeptic_lo,churned_skeptic_hi,churned_naive_mean,churned_naive_lo,churned_naive_hi,churned_activist_mean,churned_activist_lo,churned_activist_hi
0,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.24375534426137,59.12001616784321,61.367494520679536,0.0,0.0,0.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,500.0,500.0,500.0,0.6252061913582815,0.624812599091331,0.6255997836252319,0.8253585301092672,0.8251055653476402,0.8256114948708941,0.675331785807354,0.6748819588655846,0.6757816127491234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7349054037502017,0.7339639662506409,0.7358468412497626,0.7349072135994718,0.7339661087163397,0.7358483184826038,0.0002800000000000001,0.00013237768091880857,0.0004276223190811916,0.000427087136781548,0.00042084835338016766,0.0004333259201829283,0.0,0.0,0.0,0.0,0.0,0.0,60.59219534426137,59.46883019855919,61.71556048996355,2350.1420149464557,2327.4664012017665,2372.817628691145,12350.142014946461,12327.466401201773,12372.81762869115,-411.92894755639054,-417.76598872990394,-406.09190638287714,499.86,499.78618884045943,499.9338111595406,0.6248543065336944,0.6244611799251453,0.6252474331422436,0.8251551143355625,0.8249025759938883,0.8254076526772368,0.674870133341922,0.6744195517745164,0.6753207149093277,0.04,0.0013985084288812913,0.0786014915711187,0.06,0.013218081711115368,0.10678191828888463,0.04,0.0013985084288812774,0.07860149157111873
2,0.73452533589807,0.7335824337261141,0.7354682380700259,0.7345247408132402,0.7335826828744858,0.7354667987519945,0.0005800000000000003,0.00037684494253468055,0.00078315505746532,0.0009715175157176291,0.0009597616888387081,0.0009832733425965499,0.0,0.0,0.0,0.0,0.0,0.0,60.81099534426139,59.6865185522079,61.935472136314885,2353.136724918149,2331.1682717649246,2375.1051780713733,14703.278739864596,14658.947651466146,14747.609828263046,-826.8526050844739,-836.354397371903,-817.3508127970448,499.71,499.6084224712673,499.81157752873264,0.6244021059478769,0.6240077564344193,0.6247964554613346,0.8248957536588634,0.8246438476393569,0.8251476596783698,0.6743017199880673,0.6738484846705552,0.6747549553055794,0.07,0.01973924960465641,0.1202607503953436,0.14,0.07164792274812373,0.2083520772518763,0.08,0.02655865482851899,0.133441345171481
3,0.7340593452190247,0.7331147153379717,0.7350039751000778,0.7340609684703174,0.7331185488347455,0.7350033881058894,0.0009200000000000004,0.0006390873862467965,0.0012009126137532042,0.001639288008085045,0.0016224296584160614,0.0016561463577540287,0.0,0.0,0.0,0.0,0.0,0.0,60.9509953442614,59.82797126800028,62.07401942052252,2359.839633679106,2337.250657005832,2382.42861035238,17063.118373543715,16996.587012600274,17129.649734487157,-1248.479171373513,-1261.7528092620828,-1235.2055334849433,499.54,499.3995436931234,499.68045630687664,0.6238508660835618,0.6234577875571978,0.6242439446099257,0.824577731735059,0.8243258967384716,0.8248295667316464,0.6735882650633261,0.6731378601446021,0.6740386699820502,0.11,0.04836465660389682,0.17163534339610317,0.21,0.12061458777187452,0.2993854122281255,0.14,0.06110660305952034,0.21889339694047968
4,0.7335293866615399,0.7325828083213195,0.7344759650017603,0.7335286567317314,0.7325833119284231,0.7344740015350397,0.0013200000000000006,0.0010037385661427335,0.0016362614338572678,0.0023989524194949056,0.0023766137275808854,0.002421291111408926,0.0,0.0,0.0,0.0,0.0,0.0,61.05301534426138,59.93064787788085,62.17538281064191,2360.842606199201,2338.4811706021965,2383.2040417962053,19423.960979742915,19335.38183422883,19512.540125257,-1671.1087101826479,-1688.1985663342414,-1654.0188540310544,499.34,499.18186928307136,499.4981307169286,0.6232211202820981,0.6228273551673271,0.623614885396869,0.824215568220134,0.8239634929951818,0.8244676434450862,0.672793529949793,0.672342151561553,0.6732449083380331,0.17,0.09600506705854717,0.24399493294145286,0.32,0.2089857521201751,0.4310142478798249,0.17,0.08617034106492072,0.2538296589350793
5,0.7329580908860192,0.732010486294456,0.7339056954775823,0.7329608264215852,0.7320143256016781,0.7339073272414923,0.001560000000000001,0.0012276570737836297,0.0018923429262163725,0.0032174907132139262,0.0031910561387409105,0.003243925287686942,0.0,0.0,0.0,0.0,0.0,0.0,61.1509153442614,60.02836842660721,62.27346226191559,2360.846408687782,2338.3756184925046,2383.3171988830595,21784.807388430683,21674.1164227511,21895.498354110267,-2093.7420514803634,-2114.8484940592375,-2072.6356089014894,499.22,499.05382853689184,499.3861714631082,0.6225348588108575,0.6221394203156265,0.6229302973060884,0.8238235649822809,0.8235722239139526,0.8240749060506093,0.6719302147449921,0.6714763952803273,0.672384034209657,0.22,0.13377439973294386,0.30622560026705614,0.36,0.24339410067421216,0.4766058993257878,0.2,0.11190455130480312,0.2880954486951969
6,0.7323642617243955,0.7314144301361777,0.7333140933126133,0.732372806488121,0.7314258425255695,0.7333197704506724,0.0019000000000000015,0.0015548501716060067,0.0022451498283939963,0.0040683552861846975,0.004037347706682357,0.004099362865687038,0.0,0.0,0.0,0.0,0.0,0.0,61.23199534426137,60.1104471233071,62.353543565215645,2364.165333679294,2342.4492235159178,2385.88144384267,24148.972722109993,24016.924262779936,24281.02118144005,-2519.694317769592,-2544.179359255732,-2495.2092762834523,499.05,498.877425085803,499.222574914197,0.6218349257267369,0.6214366368061921,0.6222332146472818,0.8234168927977923,0.8231651475730443,0.8236686380225403,0.6710225065936687,0.6705645672656895,0.6714804459216479,0.27,0.17821570302215536,0.36178429697784464,0.42,0.2979949595344934,0.5420050404655066,0.26,0.16503653865881376,0.3549634613411863
7,0.731751633720646,0.7307987376714127,0.7327045297698793,0.7317682832347259,0.73081760521021,0.7327189612592417,0.0021600000000000018,0.0017834293090898817,0.002536570690910122,0.0049472266138081275,0.00491113804183445,0.004983315185781805,0.0,0.0,0.0,0.0,0.0,0.0,61.31467534426137,60.193569159507504,62.43578152901523,2363.2193093225355,2341.048672565939,2385.389946079132,26512.192031432514,26358.28439056933,26666.0996722957,-2944.700559702061,-2972.9316333481966,-2916.4694860559257,498.92,498.73171465454493,499.1082853454551,0.6211025158735533,0.6207053818583911,0.6214996498887154,0.8230034628014316,0.822752131567766,0.823254794035097,0.6700827942334223,0.6696259995289213,0.6705395889379233,0.33,0.22555951092810922,0.4344404890718908,0.46,0.328091957344627,0.5919080426553731,0.29,0.18842247126734013,0.39157752873265983
8,0.7311273911025847,0.7301720792579736,0.7320827029471959,0.7311472929300461,0.7301952985263772,0.732099287333715,0.002520000000000002,0.002108225626162223,0.002931774373837781,0.0058426708703881395,0.005801493830555935,0.005883847910220344,0.0,0.0,0.0,0.0,0.0,0.0,61.38761534426144,60.26710136538275,62.50812932314013,2366.2109950243203,2344.1492590000153,2388.2727310486252,28878.40302645686,28702.768743271536,29054.037309642186,-3372.6984873363144,-3404.5774853784824,-3340.8194892941465,498.74,498.5341128130811,498.9458871869189,0.62035598977093,0.6199601472602938,0.6207518322815662,0.8225801491744008,0.8223293284095521,0.8228309699392495,0.6691392259925973,0.6686817630982268,0.6695966888869679,0.38,0.262532060681747,0.497467939318253,0.54,0.40233412429605764,0.6776658757039424,0.34,0.23131720513811807,0.448682794861882
9,0.7305003197714326,0.7295421797241873,0.7314584598186779,0.7305180045086687,0.7295634708726505,0.7314725381446868,0.0026600000000000018,0.0022210936567081574,0.003098906343291846,0.006742514565404684,0.006696105934831518,0.00678892319597785,0.0,0.0,0.0,0.0,0.0,0.0,61.477195344261396,60.3552318861929,62.599158802329896,2367.920933204136,2346.039820030585,2389.802046377687,31246.323959660986,31049.14693539092,31443.50098393105,-3802.406353150385,-3838.0112731386034,-3766.801433162166,498.67,498.4505468283541,498.8894531716459,0.6196038110122963,0.6192073951686076,0.6200002268559851,0.8221528017652705,0.8219005532720748,0.8224050502584662,0.6681955973432256,0.6677382165357387,0.6686529781507126,0.4,0.2754142216719093,0.5245857783280907,0.58,0.43211505427624763,0.7278849457237523,0.35,0.24076519591154838,0.4592348040884516
