step,mean_trust_all_mean,mean_trust_all_lo,mean_trust_all_hi,mean_trust_mean,mean_trust_lo,mean_trust_hi,cumulative_churn_mean,cumulative_churn_lo,cumulative_churn_hi,mean_harm_mean,mean_harm_lo,mean_harm_hi,negative_wom_rate_mean,negative_wom_rate_lo,negative_wom_rate_hi,step_negative_wom_count_mean,step_negative_wom_count_lo,step_negative_wom_count_hi,platform_reputation_mean,platform_reputation_lo,platform_reputation_hi,step_revenue_mean,step_revenue_lo,step_revenue_hi,cumulative_revenue_mean,cumulative_revenue_lo,cumulative_revenue_hi,opportunity_cost_mean,opportunity_cost_lo,opportunity_cost_hi,active_users_mean,active_users_lo,active_users_hi,trust_skeptic_mean,trust_skeptic_lo,trust_skeptic_hi,trust_naive_mean,trust_naive_lo,trust_naive_hi,trust_activist_mean,trust_activist_lo,trust_activist_hi,churned_skeptic_mean,churned_skeptic_lo,churned_skeptic_hi,churned_naive_mean,churned_naive_lo,churned_naive_hi,churned_activist_mean,churned_activist_lo,churned_activist_hi
0,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.24375534426137,59.12001616784321,61.367494520679536,0.0,0.0,0.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,500.0,500.0,500.0,0.6252061913582815,0.624812599091331,0.6255997836252319,0.8253585301092672,0.8251055653476402,0.8256114948708941,0.675331785807354,0.6748819588655846,0.6757816127491234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7349853398335,0.7340441809582245,0.7359264987087755,0.7349871369004258,0.7340463150268599,0.7359279587739918,0.0002800000000000001,0.00013237768091880857,0.0004276223190811916,0.0003154299313971056,0.00030989080112711826,0.0003209690616670929,0.0,0.0,0.0,0.0,0.0,0.0,60.47214780817636,59.41579066046228,61.52850495589044,2207.154330558791,2186.1030180558387,2228.2056430617436,12207.15433055879,12186.103018055837,12228.205643061741,-42.09082109769357,-63.14213360064589,-21.03950859474125,499.86,499.78618884045943,499.9338111595406,0.6249350737222836,0.6245420141407773,0.62532813330379,0.8252264584092751,0.8249739352157298,0.8254789816028204,0.6749702853286407,0.6745205897516212,0.6754199809056601,0.04,0.0013985084288812913,0.0786014915711187,0.06,0.013218081711115368,0.10678191828888463,0.04,0.0013985084288812774,0.07860149157111873
2,0.7347080559818813,0.7337655792455939,0.7356505327181686,0.7347074721810515,0.7337658395071086,0.7356491048549944,0.0005800000000000003,0.00037684494253468055,0.00078315505746532,0.0007163045938256712,0.0007061530716551623,0.0007264561159961801,0.0,0.0,0.0,0.0,0.0,0.0,60.68554559129725,59.69251446629759,61.67857671629691,2209.0790072675454,2189.7100253361946,2228.4479891988963,14416.233337826337,14375.958596249598,14456.508079403076,-86.10631890414113,-126.3810604808796,-45.83157732740268,499.71,499.6084224712673,499.81157752873264,0.624585977149488,0.6241917976586034,0.6249801566403727,0.8250589631197647,0.8248069377886237,0.8253109884509057,0.6745320627956027,0.6740800850829537,0.6749840405082518,0.07,0.01973924960465641,0.1202607503953436,0.14,0.07164792274812373,0.2083520772518763,0.08,0.02655865482851899,0.133441345171481
3,0.7343680114944915,0.7334239469327091,0.7353120760562739,0.7343697303152235,0.7334278912960395,0.7353115693344074,0.0009200000000000004,0.0006390873862467965,0.0012009126137532042,0.0012079907052460939,0.0011936317408438345,0.0012223496696483532,0.0,0.0,0.0,0.0,0.0,0.0,60.88457873926865,59.951075569920334,61.81808190861696,2214.6137826935797,2196.0734380342938,2233.1541273528655,16630.847120519906,16572.21724301682,16689.47699802299,-135.65659213662485,-194.28646963971119,-77.02671463353853,499.54,499.3995436931234,499.68045630687664,0.6241609023472009,0.6237682045929005,0.6245536001015013,0.8248528565608138,0.8246008603082832,0.8251048528133443,0.67397976807252,0.673530622185432,0.674428913959608,0.11,0.04836465660389682,0.17163534339610317,0.21,0.12061458777187452,0.2993854122281255,0.14,0.06110660305952034,0.21889339694047968
4,0.7339814729105334,0.7330356192261581,0.7349273265949087,0.7339810086372922,0.7330363869226217,0.7349256303519627,0.0013200000000000006,0.0010037385661427335,0.0016362614338572678,0.0017669347626347123,0.0017481606716776962,0.0017857088535917283,0.0,0.0,0.0,0.0,0.0,0.0,61.0698847825143,60.19232392910322,61.947445635925384,2217.192150069039,2199.83498518276,2234.549314955318,18848.039270588943,18772.218719324672,18923.859821853213,-187.78523274456867,-263.6057840088391,-111.96468148029822,499.34,499.18186928307136,499.4981307169286,0.6236792033006315,0.6232863634973101,0.6240720431039529,0.8246183632382171,0.8243661601868275,0.8248705662896068,0.6733604991477213,0.6729090005318323,0.6738119977636103,0.17,0.09600506705854717,0.24399493294145286,0.32,0.2089857521201751,0.4310142478798249,0.17,0.08617034106492072,0.2538296589350793
5,0.733562158343901,0.7326153646824569,0.7345089520053452,0.7335653199362777,0.732619630319713,0.7345110095528424,0.001560000000000001,0.0012276570737836297,0.0018923429262163725,0.0023730430659437978,0.0023509984997553282,0.0023950876321322673,0.0,0.0,0.0,0.0,0.0,0.0,61.242293054103385,60.41730015138429,62.06728595682248,2219.0565263349217,2202.67076908451,2235.4422835853334,21067.09579692388,20975.09342927996,21159.0981645678,-241.77824961839414,-333.78061726231317,-149.7758819744751,499.22,499.05382853689184,499.3861714631082,0.6231491579671631,0.6227554440478115,0.6235428718865147,0.8243641820055181,0.8241128437991563,0.8246155202118799,0.6726790893512026,0.672226569267944,0.6731316094344612,0.22,0.13377439973294386,0.30622560026705614,0.36,0.24339410067421216,0.4766058993257878,0.2,0.11190455130480312,0.2880954486951969
6,0.7331300883453301,0.7321815648530623,0.7340786118375979,0.7331392280748744,0.7321935706805244,0.7340848854692245,0.0019000000000000015,0.0015548501716060067,0.0022451498283939963,0.0029977350306996525,0.002971800632806998,0.003023669428592307,0.0,0.0,0.0,0.0,0.0,0.0,61.402448204802546,60.626863691770005,62.17803271783509,2223.4535909241354,2208.5531853424095,2238.3539965058612,23290.549387848005,23183.862119594913,23397.236656101097,-300.16833108143373,-406.8555993345255,-193.48106282834198,499.05,498.877425085803,499.222574914197,0.6226119607525622,0.6222162632880248,0.6230076582170996,0.8241025635324334,0.8238508805073259,0.8243542465575409,0.671974062319538,0.671517428778317,0.6724306958607591,0.27,0.17821570302215536,0.36178429697784464,0.42,0.2979949595344934,0.5420050404655066,0.26,0.16503653865881376,0.3549634613411863
7,0.7326836627180059,0.7317324104899375,0.7336349149460742,0.7327011608476698,0.7317521173602116,0.733650204335128,0.0021600000000000018,0.0017834293090898817,0.002536570690910122,0.0036443407343788492,0.003613859164168689,0.0036748223045890093,0.0,0.0,0.0,0.0,0.0,0.0,61.55109595758848,60.82194639772975,62.28024551744721,2224.6153688825793,2210.3357887206157,2238.894949044543,25515.16475673059,25394.390958706488,25635.938554754695,-359.7201905029181,-480.4939885270212,-238.94639247881503,498.92,498.73171465454493,499.1082853454551,0.6220427385576017,0.6216484192328706,0.6224370578823328,0.8238372769674212,0.8235857061074042,0.8240888478274381,0.6712513811265395,0.6707941139258584,0.6717086483272205,0.33,0.22555951092810922,0.4344404890718908,0.46,0.328091957344627,0.5919080426553731,0.29,0.18842247126734013,0.39157752873265983
8,0.7322267270139824,0.731273401081773,0.7331800529461918,0.7322478528959604,0.7312978536009519,0.7331978521909689,0.002520000000000002,0.002108225626162223,0.002931774373837781,0.004305496979485823,0.004270358865653942,0.004340635093317704,0.0,0.0,0.0,0.0,0.0,0.0,61.68880602824599,61.00329352864297,62.37431852784901,2227.9033721541377,2214.548589173979,2241.2581551342964,27743.06812888472,27609.173491413265,27876.962766356173,-422.5600531959608,-556.4546906674163,-288.6654157245052,498.74,498.5341128130811,498.9458871869189,0.6214645154170789,0.6210715168114119,0.6218575140227459,0.8235630363782046,0.823312124489836,0.8238139482665732,0.6705207110743757,0.6700635520241732,0.6709778701245782,0.38,0.262532060681747,0.497467939318253,0.54,0.40233412429605764,0.6776658757039424,0.34,0.23131720513811807,0.448682794861882
9,0.731768662727362,0.7308126627712174,0.7327246626835066,0.7317879382267495,0.7308355447543439,0.7327403316991551,0.0026600000000000018,0.0022210936567081574,0.003098906343291846,0.0049690395591147785,0.004928425018036044,0.005009654100193513,0.0,0.0,0.0,0.0,0.0,0.0,61.81640861166067,61.17188496199125,62.460932261330086,2230.708986755959,2218.237591731955,2243.1803817799628,29973.77711564068,29827.66583741105,30119.888393870315,-488.2055304908243,-634.3168087204591,-342.09425226118947,498.67,498.4505468283541,498.8894531716459,0.6208797290423613,0.6204852668976385,0.6212741911870842,0.8232879189254814,0.8230356903112297,0.823540147539733,0.6697930088688157,0.6693357910500427,0.6702502266875886,0.4,0.2754142216719093,0.5245857783280907,0.58,0.43211505427624763,0.7278849457237523,0.35,0.24076519591154838,0.4592348040884516
