step,mean_trust_all_mean,mean_trust_all_lo,mean_trust_all_hi,mean_trust_mean,mean_trust_lo,mean_trust_hi,cumulative_churn_mean,cumulative_churn_lo,cumulative_churn_hi,mean_harm_mean,mean_harm_lo,mean_harm_hi,negative_wom_rate_mean,negative_wom_rate_lo,negative_wom_rate_hi,step_negative_wom_count_mean,step_negative_wom_count_lo,step_negative_wom_count_hi,platform_reputation_mean,platform_reputation_lo,platform_reputation_hi,step_revenue_mean,step_revenue_lo,step_revenue_hi,cumulative_revenue_mean,cumulative_revenue_lo,cumulative_revenue_hi,opportunity_cost_mean,opportunity_cost_lo,opportunity_cost_hi,active_users_mean,active_users_lo,active_users_hi,trust_skeptic_mean,trust_skeptic_lo,trust_skeptic_hi,trust_naive_mean,trust_naive_lo,trust_naive_hi,trust_activist_mean,trust_activist_lo,trust_activist_hi,churned_skeptic_mean,churned_skeptic_lo,churned_skeptic_hi,churned_naive_mean,churned_naive_lo,churned_naive_hi,churned_activist_mean,churned_activist_lo,churned_activist_hi
0,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.24375534426138,49.12001616784322,51.36749452067954,0.0,0.0,0.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,500.0,500.0,500.0,0.6252061913582815,0.624812599091331,0.6255997836252319,0.8253585301092672,0.8251055653476402,0.8256114948708941,0.675331785807354,0.6748819588655846,0.6757816127491234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7331935330365086,0.7322484829232592,0.734138583149758,0.7331959483009675,0.7322522244880524,0.7341396721138825,0.0003400000000000002,0.0001818692830713665,0.0004981307169286339,0.0028914217473097695,0.002872070076477459,0.00291077341814208,0.0,0.0,0.0,0.0,0.0,0.0,50.660326178483736,49.60397138112174,51.71668097584573,4141.779084686473,4094.297749428116,4189.26041994483,14141.779084686474,14094.297749428117,14189.26041994483,-1976.7155752253775,-2024.1969104837344,-1929.2342399670206,499.83,499.75093464153565,499.9090653584643,0.6227258574773792,0.6223377023839424,0.623114012570816,0.8240889140554145,0.8238361086498894,0.8243417194609396,0.6721598463649353,0.6717117454128501,0.6726079473170206,0.06,0.005551596103570901,0.1144484038964291,0.07,0.01973924960465638,0.12026075039534363,0.04,0.0013985084288812705,0.07860149157111873
2,0.7302380045252671,0.729283721758628,0.7311922872919062,0.730255400740625,0.7293013287885458,0.7312094726927042,0.0006200000000000003,0.00039926859504974595,0.0008407314049502547,0.007078801710926175,0.007039672149384485,0.007117931272467864,0.0,0.0,0.0,0.0,0.0,0.0,51.040504064880224,50.04749030292442,52.033517826836025,4165.806652052213,4120.8888588279815,4210.724445276445,18307.58573673869,18215.57815092686,18399.593322550518,-3977.4587178164934,-4069.4663036283227,-3885.451132004664,499.69,499.5796342975249,499.8003657024751,0.619127626907532,0.6187373700576074,0.6195178837574565,0.8222478439394699,0.8219950302205473,0.8225006576583925,0.667380171253357,0.6669255197360672,0.6678348227706469,0.13,0.0581333333333334,0.2018666666666666,0.1,0.03466666666666672,0.16533333333333328,0.08,0.026558654828518977,0.13344134517148104
3,0.726242823414916,0.7252770951829787,0.7272085516468533,0.7262567423518488,0.7252881242469639,0.7272253604567337,0.0009600000000000006,0.0006900194275601501,0.001229980572439851,0.012566396560936933,0.012500486395960178,0.012632306725913688,0.0,0.0,0.0,0.0,0.0,0.0,51.38249409349579,50.44903869577338,52.31594949121819,4180.953930148829,4139.35378296181,4222.554077335849,22488.53966688752,22355.343895661405,22621.735438113632,-5993.349138504231,-6126.5449097303435,-5860.153367278118,499.52,499.38500971378005,499.6549902862199,0.614285172183639,0.6138904141712029,0.614679930196075,0.8198386226286652,0.8195858324002507,0.8200914128570798,0.6606853331460474,0.6602218216331166,0.6611488446589782,0.17,0.08617034106492069,0.25382965893507936,0.19,0.10785365116901043,0.2721463488309896,0.12,0.05598666805526624,0.18401333194473374
4,0.7219158863878651,0.7209351206294201,0.72289665214631,0.7219316302497866,0.7209451947568455,0.7229180657427277,0.0011600000000000007,0.000843934940848943,0.0014760650591510583,0.018490011518339077,0.01839501929798968,0.018585003738688474,0.0,0.0,0.0,0.0,0.0,0.0,51.68744689843217,50.80995814465356,52.564935652210785,4194.103325214066,4154.7122932856255,4233.4943571425065,26682.64299210159,26510.62879501579,26854.657189187394,-8022.388954257199,-8194.403151343002,-7850.374757171395,499.42,499.2619674704245,499.5780325295755,0.6090556783146627,0.6086540621854458,0.6094572944438795,0.8172353339564299,0.8169843693143448,0.817486298598515,0.6533870152577989,0.652917342842216,0.6538566876733817,0.21,0.11231728128602511,0.3076827187139749,0.23,0.14254557550565922,0.3174544244943408,0.14,0.06618884045940432,0.2138111595405957
5,0.7175423064515034,0.7165478078699804,0.7185368050330264,0.7175594116069471,0.7165598507897398,0.7185589724241545,0.0014600000000000008,0.0010952593083830495,0.0018247406916169521,0.024501184829696133,0.02437581581431708,0.024626553845075186,3.169352892143377e-08,-3.0425787764576426e-08,9.381284560744396e-08,0.01,-0.0096,0.0296,51.95732735156939,51.1324344011531,52.78222030198568,4201.755215060023,4165.213133541458,4238.297296578588,30884.398207161594,30676.369226721672,31092.427187601515,-10059.080659856136,-10267.109640296057,-9851.051679416214,499.27,499.0876296541915,499.45237034580845,0.6037733456872084,0.6033752660778017,0.6041714252966152,0.8145724613704043,0.8143251779761173,0.8148197447646913,0.6460839516516517,0.6455943697235387,0.6465735335797647,0.26,0.14642859941735772,0.37357140058264227,0.29,0.18842247126734013,0.39157752873265983,0.18,0.09467920546667426,0.26532079453332574
6,0.7131085785828517,0.7120867132845083,0.7141304438811951,0.7131248670371337,0.7120974577803268,0.7141522762939406,0.0016600000000000009,0.0012737639932252662,0.0020462360067747356,0.030474496984999887,0.030318718154022175,0.0306302758159776,3.843413043747965e-06,2.282008940276037e-06,5.404817147219893e-06,0.4,0.21312133250786414,0.5868786674921359,52.19408731118927,51.418642576088416,52.96953204629013,4210.261084612643,4174.980840274519,4245.541328950766,35094.659291774246,34851.951985929125,35337.366597619366,-12104.278235007676,-12346.985540852796,-11861.570929162555,499.17,498.97688199661263,499.3631180033874,0.5985099981178458,0.5981041772380102,0.5989158189976813,0.8118384962408429,0.8115880308224727,0.8120889616592132,0.6386317303258452,0.6381469063222319,0.6391165543294585,0.28,0.16154519422960933,0.3984548057703907,0.32,0.21621174625150685,0.42378825374849316,0.23,0.1301174750625577,0.3298825249374423
7,0.7080311060513489,0.7069722610069199,0.7090899510957779,0.7080384903266657,0.7069728642341413,0.70910411641919,0.0019800000000000013,0.0015649404647791157,0.002395059535220887,0.03642902863666466,0.036244034529724835,0.03661402274360449,5.3968837683074676e-05,4.66687436499566e-05,6.126893171619275e-05,3.22,2.762598792915427,3.677401207084573,52.39710842387496,51.66801793233659,53.12619891541333,4218.291346656351,4186.077493643508,4250.505199669195,39312.95063843059,39038.525901760724,39587.37537510046,-14157.50607220294,-14431.93080887281,-13883.081335533068,499.01,498.80247023238957,499.2175297676104,0.5924182902540407,0.5919704978754754,0.592866082632606,0.8085365450205032,0.8082615289423452,0.8088115610986613,0.6306088018817096,0.6300725983936766,0.6311450053697427,0.33,0.20839317536429236,0.45160682463570767,0.4,0.27233756633332984,0.5276624336666702,0.26,0.15718842182876194,0.3628115781712381
8,0.7000492920188056,0.6988891945600305,0.7012093894775807,0.7000528944019682,0.6988871229773692,0.7012186658265671,0.0022200000000000015,0.0017781330407272246,0.002661866959272778,0.04233492760801139,0.04212144064790329,0.042548414568119496,0.00034610928996913544,0.0003234074788550923,0.0003688111010831786,15.83,14.680006790709553,16.97999320929045,52.557109345223786,51.87178360295016,53.24243508749741,4231.5264544413685,4201.693433076231,4261.359475806506,43544.47709287197,43240.86455434054,43848.08963140341,-16223.969017183203,-16527.58155571464,-15920.356478651764,498.89,498.6690665203636,499.1109334796364,0.5830780605711001,0.5824281793388785,0.5837279418033218,0.8026689798018768,0.8022586849486695,0.8030792746550841,0.6193737040563811,0.6185429070738142,0.6202045010389481,0.38,0.2530080349316573,0.5069919650683428,0.44,0.3113685776014164,0.5686314223985836,0.29,0.18104975466023054,0.3989502453397694
9,0.6855490995864407,0.6841533574627697,0.6869448417101117,0.6855362559527168,0.6841349245673707,0.686937587338063,0.0024800000000000017,0.0020167821011465767,0.0029432178988534267,0.0482056629998665,0.047966662385259824,0.04844466361447317,0.0012898494549974699,0.0012381083415887266,0.001341590568406213,43.91,42.240342553005846,45.57965744699415,52.650960024830034,52.006723641691394,53.295196407968675,4236.25448205702,4206.835725571816,4265.673238542225,47780.73157492899,47448.26524674144,48113.19790311655,-18295.15998977913,-18627.62631796669,-17962.693661591573,498.76,498.5283910505733,498.9916089494267,0.5659552718069478,0.5649005420908113,0.5670100015230843,0.791063880443206,0.7903909834006024,0.7917367774858095,0.6013800693731438,0.6000175121019617,0.6027426266443259,0.44,0.3026162846166792,0.5773837153833208,0.48,0.3421651053549276,0.6178348946450724,0.32,0.20220218657171585,0.43779781342828417
