step,mean_trust_all_mean,mean_trust_all_lo,mean_trust_all_hi,mean_trust_mean,mean_trust_lo,mean_trust_hi,cumulative_churn_mean,cumulative_churn_lo,cumulative_churn_hi,mean_harm_mean,mean_harm_lo,mean_harm_hi,negative_wom_rate_mean,negative_wom_rate_lo,negative_wom_rate_hi,step_negative_wom_count_mean,step_negative_wom_count_lo,step_negative_wom_count_hi,platform_reputation_mean,platform_reputation_lo,platform_reputation_hi,step_revenue_mean,step_revenue_lo,step_revenue_hi,cumulative_revenue_mean,cumulative_revenue_lo,cumulative_revenue_hi,opportunity_cost_mean,opportunity_cost_lo,opportunity_cost_hi,active_users_mean,active_users_lo,active_users_hi,trust_skeptic_mean,trust_skeptic_lo,trust_skeptic_hi,trust_naive_mean,trust_naive_lo,trust_naive_hi,trust_activist_mean,trust_activist_lo,trust_activist_hi,churned_skeptic_mean,churned_skeptic_lo,churned_skeptic_hi,churned_naive_mean,churned_naive_lo,churned_naive_hi,churned_activist_mean,churned_activist_lo,churned_activist_hi
0,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.7352036327645002,0.7342637599120331,0.7361435056169673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.24375534426137,59.12001616784321,61.367494520679536,0.0,0.0,0.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,500.0,500.0,500.0,0.6252061913582815,0.624812599091331,0.6255997836252319,0.8253585301092672,0.8251055653476402,0.8256114948708941,0.675331785807354,0.6748819588655846,0.6757816127491234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7350773162847622,0.7341373376621523,0.7360172949073722,0.7350859879166168,0.7341469122043265,0.7360250636289072,0.00032000000000000013,0.00016519245705219875,0.0004748075429478015,0.0001820622802600468,0.00017964092187111138,0.00018448363864898224,0.0,0.0,0.0,0.0,0.0,0.0,60.59205534426142,59.46925826877135,61.71485241975149,2100.101189564748,2080.316899184934,2119.885479944562,12100.101189564744,12080.31689918493,12119.885479944558,-161.88812217468214,-164.0958578908329,-159.6803864585314,499.84,499.7625962285261,499.91740377147386,0.6250494001060747,0.624655690682655,0.6254431095294943,0.8252779409394886,0.8250248420899766,0.8255310397890006,0.6751316622215932,0.674681686328743,0.6755816381144433,0.05,0.007067588942712311,0.0929324110572877,0.05,0.007067588942712297,0.09293241105728771,0.06,0.005551596103570901,0.1144484038964291
2,0.7349361427488686,0.7339955961009115,0.7358766893968258,0.7349595869867307,0.7340218582896996,0.7358973156837618,0.0005800000000000002,0.00036209950932046097,0.0007979004906795395,0.0003856842797628879,0.00038132864514708295,0.00039003991437869284,0.0,0.0,0.0,0.0,0.0,0.0,60.81183534426142,59.68846142307723,61.93520926544561,2106.9655340934914,2087.15522706645,2126.7758411205327,14207.066723658238,14167.530600877491,14246.602846438984,-330.64058887810677,-334.604941283189,-326.6762364730245,499.71,499.6010497546602,499.81895024533975,0.6248717862400089,0.6244789325154971,0.6252646399645208,0.8251914385336321,0.8249383903554334,0.8254444867118308,0.6749127919595227,0.6744632648110425,0.6753623191080029,0.12,0.044834394282835116,0.19516560571716488,0.08,0.026558654828518963,0.13344134517148104,0.09,0.027118112964290605,0.15288188703570937
3,0.7347811353381113,0.7338402760117863,0.7357219946644363,0.7348059778629817,0.7338677076190198,0.7357442481069437,0.0007400000000000004,0.0004993526441055508,0.00098064735589445,0.0006089152232548181,0.0006028046123510532,0.000615025834158583,0.0,0.0,0.0,0.0,0.0,0.0,60.9709753442614,59.845983315875706,62.09596737264709,2110.225075293815,2090.3944284951854,2130.0557220924443,16317.291798952052,16258.012999269042,16376.570598635062,-502.6525967818554,-508.24396078749567,-497.0612327762151,499.63,499.50967632205277,499.7503236779472,0.6246752423257251,0.6242826017364221,0.6250678829150281,0.8250940259048728,0.8248412511564059,0.8253468006533397,0.6746679798254287,0.6742187306030701,0.6751172290477873,0.15,0.06937942714370737,0.23062057285629262,0.11,0.042361280588435385,0.17763871941156462,0.11,0.042361280588435385,0.17763871941156462
4,0.734613226682771,0.7336721528056989,0.735554300559843,0.7346379595780409,0.7336997133128418,0.73557620584324,0.0010000000000000005,0.0007131819990715972,0.0012868180009284037,0.000851066116118932,0.0008441115046877994,0.0008580207275500646,0.0,0.0,0.0,0.0,0.0,0.0,61.086415344261404,59.96044080716398,62.21238988135883,2110.5981617001294,2090.585575273215,2130.6107481270437,18427.889960652185,18348.689270575487,18507.090650728882,-675.037691091919,-682.1889558800618,-667.8864263037761,499.5,499.3565909995358,499.6434090004642,0.6244685682975343,0.6240763304319266,0.624860806163142,0.8249913399460944,0.8247389675345177,0.8252437123576711,0.6744079468491448,0.6739603123293695,0.6748555813689202,0.18,0.09467920546667427,0.2653207945333257,0.18,0.08602234523058372,0.27397765476941627,0.14,0.06618884045940433,0.2138111595405957
5,0.7344320405650193,0.7334901664453279,0.7353739146847107,0.7344597527775457,0.7335198362008368,0.7353996693542546,0.0012800000000000005,0.0009341987118169009,0.0016258012881831003,0.001112187095662523,0.0011031753800475636,0.0011211988112774824,0.0,0.0,0.0,0.0,0.0,0.0,61.18267534426139,60.05721612475921,62.30813456376357,2113.680735724475,2093.9023192020372,2133.459152246913,20541.570696376668,20442.684240830804,20640.457151922532,-850.5053594263275,-859.3849965027338,-841.6257223499211,499.36,499.18709935590846,499.53290064409157,0.6242473496300167,0.6238547291646456,0.6246399700953879,0.8248746101745438,0.8246218102057269,0.8251274101433607,0.6741218991138502,0.6736750988969017,0.6745686993307988,0.23,0.13821570302215536,0.32178429697784466,0.24,0.12814999943557157,0.3518500005644284,0.17,0.08617034106492069,0.25382965893507936
6,0.7342411173200126,0.7332983508404648,0.7351838837995605,0.7342802634110224,0.7333387979449456,0.7352217288770991,0.0015200000000000007,0.0011805409032242058,0.0018594590967757956,0.0013874562525309977,0.001375439920269736,0.0013994725847922592,0.0,0.0,0.0,0.0,0.0,0.0,61.2737353442614,60.14813907511384,62.399331613408954,2114.2515053102525,2094.17832653782,2134.324684082685,22655.822201686915,22536.931246943277,22774.713156430553,-1026.5437973465125,-1037.5805396554836,-1015.5070550375415,499.24,499.0702704516121,499.40972954838793,0.6240160242095558,0.6236225345671573,0.6244095138519543,0.8247521142863912,0.8244999681174352,0.8250042604553471,0.6738203330579353,0.6733757637392086,0.674264902376662,0.29,0.19231728128602515,0.3876827187139748,0.27,0.1556284912217994,0.38437150877820064,0.2,0.11190455130480316,0.2880954486951969
7,0.7340388549152567,0.7330953124670924,0.734982397363421,0.7340816119611461,0.7331388515541313,0.7350243723681609,0.001740000000000001,0.0013718706331911701,0.002108129366808832,0.0016790018720643778,0.0016649285625148014,0.0016930751816139542,0.0,0.0,0.0,0.0,0.0,0.0,61.3615953442614,60.236623212201465,62.48656747632134,2115.1497661411017,2095.51446396558,2134.7850683166234,24770.97196782801,24632.53962727304,24909.40430838298,-1203.4804960975475,-1216.191364369159,-1190.7696278259361,499.13,498.9459353165956,499.3140646834044,0.6237710618828269,0.6233773142297827,0.6241648095358712,0.8246235299889384,0.8243704883310129,0.8248765716468639,0.6735038808340554,0.6730596978236929,0.673948063844418,0.33,0.22555951092810925,0.4344404890718908,0.32,0.19578854133113777,0.44421145866886225,0.22,0.12938579057622934,0.31061420942377066
8,0.7338260938336145,0.7328820289499086,0.7347701587173204,0.7338754149176122,0.732931742235944,0.7348190875992804,0.0019400000000000012,0.0015561827791905397,0.0023238172208094625,0.001985561804699457,0.0019698450458602904,0.0020012785635386237,0.0,0.0,0.0,0.0,0.0,0.0,61.447695344261405,60.3219392144772,62.57345147404561,2116.95274797379,2097.303438562399,2136.6020573851806,26887.924715801797,26729.929256449857,27045.920175153737,-1382.220176681271,-1396.664747548333,-1367.7756058142088,499.03,498.83809138959526,499.2219086104047,0.623509296849228,0.6231158901516953,0.6239027035467606,0.824490704600654,0.8242374701725859,0.8247439390287221,0.6731613130570828,0.6727167660034172,0.6736058601107484,0.37,0.2633535549470858,0.4766464450529142,0.35,0.224251654226998,0.47574834577300196,0.25,0.1407651959115483,0.3592348040884517
9,0.733604828439389,0.7326602730282235,0.7345493838505546,0.7336760993133257,0.7327302155441379,0.7346219830825135,0.0021800000000000014,0.0017664390147936497,0.002593560985206353,0.002304343440746454,0.0022868235152709547,0.0023218633662219533,0.0,0.0,0.0,0.0,0.0,0.0,61.52993534426141,60.40371013117907,62.65616055734375,2117.3007273107196,2097.2649036413654,2137.3365509800738,29005.22544311253,28827.270707081447,29183.180179143612,-1561.3078366019247,-1577.9643894667581,-1544.6512837370913,498.91,498.70321950739685,499.1167804926032,0.6232437494282773,0.6228491793564525,0.6236383195001022,0.8243512795620398,0.824097794867188,0.8246047642568916,0.6728082908922615,0.6723643796203481,0.6732522021641748,0.46,0.33411286761145886,0.5858871323885412,0.36,0.23380499937866717,0.4861950006213328,0.27,0.1556284912217994,0.38437150877820064
